title(claim),dates,veracity,source
Was a Muslim man arrested for causing a passenger train to crash in Washington state?,2017/12/21,FALSE,factcheck.org
Did former President Barack Obama create a “security company” that’s a secret “military” organization?,2017/12/22,FALSE,factcheck.org
Did President Donald Trump sign an executive order to “eliminate mass amounts of Democrat voters”? ,2017/12/23,FALSE,factcheck.org
Did Democrats in Maine legalize female genital mutilation?,2017/12/24,FALSE,factcheck.org
Has Rod Rosenstein “cleared” President Donald Trump?,2017/12/25,FALSE,factcheck.org
Is actress Jennifer Aniston starting “a company named ‘Celebrities for Trump’”?,2017/12/26,FALSE,factcheck.org
Did a video of Hillary Clinton and Huma Abedin assaulting a young girl surface online?,2017/12/27,FALSE,factcheck.org
Are Muslim nurses excused from washing their hands before medical procedures in Britain?,2017/12/28,FALSE,factcheck.org
"Is Robert S. Khuzami, the deputy U.S. attorney for the Southern District of New York, an “Obama holdover”?",2017/12/29,FALSE,factcheck.org
Can U.S. residents collect “M.A.G.A. Checks”,2017/12/30,FALSE,factcheck.org
Did former President Barack Obama announce he’s seeking the U.N. secretary general position?,2017/12/31,FALSE,factcheck.org
Is Facebook planning to give Charles and David Koch “unprecedented access” to users’ personal information?,2018/01/01,FALSE,factcheck.org
Did a federal judge rule that evidence collected from Michael Cohen’s office is inadmissible?,2018/01/02,FALSE,factcheck.org
"Did President Trump order a raid on Islamberg, New York, that uncovered weapons?",2018/01/03,FALSE,factcheck.org
Does searching an obituary website prove that there were no shooting deaths at Marjory Stoneman Douglas High School on Feb. 14?,2018/01/04,FALSE,factcheck.org
Was the first family attacked by a terrorist during the Easter holiday weekend?,2018/01/05,FALSE,factcheck.org
Was David Hogg at home during the February school shooting in Florida?,2018/01/06,FALSE,factcheck.org
Is NASA “spraying Americans with lithium and other chemicals”?,2018/01/07,FALSE,factcheck.org
"Did Emma Stone say, “America made a great choice with Donald Trump”?",2018/01/08,FALSE,factcheck.org
Did British agents seize $400 million from the Clinton Foundation?,2018/01/09,FALSE,factcheck.org
"Is the White House enraged because Barack Obama, and not President Trump, was invited to the upcoming wedding of Prince Harry and Meghan Markle?",2018/01/10,FALSE,factcheck.org
Were 19 people shot at a “March for Our Lives” rally?,2018/01/11,FALSE,factcheck.org
Did an ISIS leader have former President Obama on speed dial?,2018/01/12,FALSE,factcheck.org
Has Nancy Pelosi introduced articles of impeachment for Donald Trump?,2018/01/13,FALSE,factcheck.org
"Is the firm that built the pedestrian bridge that collapsed in Miami “a female-led construction company,” as claimed in some viral stories?",2018/01/14,FALSE,factcheck.org
Did the FBI raid Barack Obama’s Washington D.C. home?,2018/03/23,FALSE,factcheck.org
Did singer Miley Cyrus accuse President Trump’s fans of “destroying” her career?,2018/03/20,FALSE,factcheck.org
Has California’s governor ordered public schools to use “ARABIC” numerals?,2018/03/19,FALSE,factcheck.org
Are Coca-Cola and Nestlé preparing to privatize a major South American water source?,2018/03/16,FALSE,factcheck.org
Did a U.S. judge invalidate the results of Pennsylvania’s special election due to “wide-scale voter fraud”?,2018/03/16,FALSE,factcheck.org
